"","HC","coef","criterion","test","value"
"338","HC0","x2","power","saddle_V1",0.228435883970084
"339","HC0","x3","power","saddle_V1",0.104408429535307
"340","HC0","x4","power","saddle_V1",0.871583595330153
"341","HC0","x0","size","saddle_V1",0.729168641305799
"342","HC0","x1","size","saddle_V1",0.820211394666528
"343","HC0","x2","size","saddle_V1",0.101427237377798
"344","HC0","x3","size","saddle_V1",0.678383791278826
"345","HC0","x4","size","saddle_V1",0.624788723634039
"346","HC0","x0","power","saddle_V1",0.914358962810847
"347","HC0","x1","power","saddle_V1",0.514447997525724
"348","HC0","x2","power","saddle_V1",0.00106151751802495
"349","HC0","x3","power","saddle_V1",0.215162620200866
"350","HC0","x4","power","saddle_V1",0.624788723634039
"351","HC0","x0","size","saddle_V1",0.183306260246252
"352","HC0","x1","size","saddle_V1",0.122593897143272
"353","HC0","x2","size","saddle_V1",0.0723582269364582
"354","HC0","x3","size","saddle_V1",0.0857514451431198
"355","HC0","x4","size","saddle_V1",0.0755587454781252
"356","HC0","x0","power","saddle_V1",0.0682164894981775
"357","HC0","x1","power","saddle_V1",0.310934176235996
"358","HC0","x2","power","saddle_V1",0.000786739619811342
"359","HC0","x3","power","saddle_V1",0.00144763140004298
"360","HC0","x4","power","saddle_V1",0.0755587454781252
"361","HC0","x0","size","saddle_V1",0.30526938312552
"362","HC0","x1","size","saddle_V1",0.852012495570323
"363","HC0","x2","size","saddle_V1",0.469881611929541
"364","HC0","x3","size","saddle_V1",0.561181454995701
"365","HC0","x4","size","saddle_V1",0.906493647969519
"366","HC0","x0","power","saddle_V1",0.556526989917573
"367","HC0","x1","power","saddle_V1",0.51202795742271
"368","HC0","x2","power","saddle_V1",0.0149089981996529
"369","HC0","x3","power","saddle_V1",0.119730343353299
"370","HC0","x4","power","saddle_V1",0.906493647969519
"371","HC0","x0","size","saddle_V1",0.479025817634089
"372","HC0","x1","size","saddle_V1",0.743626705597853
"373","HC0","x2","size","saddle_V1",0.361140337355738
"374","HC0","x3","size","saddle_V1",0.657856784769135
"375","HC0","x4","size","saddle_V1",0.133228524835766
"376","HC0","x0","power","saddle_V1",0.310163070470036
"377","HC0","x1","power","saddle_V1",0.47723141733158
"378","HC0","x2","power","saddle_V1",0.579630242824498
"379","HC0","x3","power","saddle_V1",0.102294937684907
"380","HC0","x4","power","saddle_V1",0.133228524835766
"381","HC0","x0","size","saddle_V1",0.360095969862845
"382","HC0","x1","size","saddle_V1",0.286484954285102
"383","HC0","x2","size","saddle_V1",0.548456633318412
"384","HC0","x3","size","saddle_V1",0.164678919562259
"385","HC0","x4","size","saddle_V1",0.943543699124775
"386","HC0","x0","power","saddle_V1",0.595376121315731
"387","HC0","x1","power","saddle_V1",0.154220885757251
"388","HC0","x2","power","saddle_V1",0.284089687778378
"389","HC0","x3","power","saddle_V1",0.764936964203256
"390","HC0","x4","power","saddle_V1",0.943543699124775
"391","HC0","x0","size","saddle_V1",0.442611234593568
"392","HC0","x1","size","saddle_V1",0.579127253491797
"393","HC0","x2","size","saddle_V1",0.24754555670131
"394","HC0","x3","size","saddle_V1",0.00338099089739286
"395","HC0","x4","size","saddle_V1",0.355038220988566
"396","HC0","x0","power","saddle_V1",0.67877340527049
"397","HC0","x1","power","saddle_V1",0.307425825747592
"398","HC0","x2","power","saddle_V1",0.00503706468645762
"399","HC0","x3","power","saddle_V1",0.0960516539839531
"400","HC0","x4","power","saddle_V1",0.355038220988566
"401","HC0","x0","size","saddle_V1",0.406077637157577
"402","HC0","x1","size","saddle_V1",0.297297909961869
"403","HC0","x2","size","saddle_V1",0.188435086353023
"404","HC0","x3","size","saddle_V1",0.679474261805725
"405","HC0","x4","size","saddle_V1",0.51971511952233
"406","HC0","x0","power","saddle_V1",0.602106026629007
"407","HC0","x1","power","saddle_V1",0.169172069335456
"408","HC0","x2","power","saddle_V1",0.65615035223193
"409","HC0","x3","power","saddle_V1",0.0717376635200969
"410","HC0","x4","power","saddle_V1",0.51971511952233
"411","HC0","x0","size","saddle_V1",0.70657885449874
"412","HC0","x1","size","saddle_V1",0.482840302380144
"413","HC0","x2","size","saddle_V1",0.434573495704495
"414","HC0","x3","size","saddle_V1",0.617907299322617
"415","HC0","x4","size","saddle_V1",0.924776223916809
"416","HC0","x0","power","saddle_V1",0.444594184322475
"417","HC0","x1","power","saddle_V1",0.825663432730869
"418","HC0","x2","power","saddle_V1",0.0202713368722468
"419","HC0","x3","power","saddle_V1",0.078166004262821
"420","HC0","x4","power","saddle_V1",0.924776223916809
"421","HC0","x0","size","saddle_V1",0.160259188152369
"422","HC0","x1","size","saddle_V1",0.536621917225668
"423","HC0","x2","size","saddle_V1",0.591196506379564
"424","HC0","x3","size","saddle_V1",0.872232439742466
"425","HC0","x4","size","saddle_V1",0.540350745809188
"426","HC0","x0","power","saddle_V1",0.0773060452039606
"427","HC0","x1","power","saddle_V1",0.910841731884501
"428","HC0","x2","power","saddle_V1",0.0217841059235675
"429","HC0","x3","power","saddle_V1",0.119951279278392
"430","HC0","x4","power","saddle_V1",0.540350745809188
"431","HC0","x0","size","saddle_V1",0.0837353937460271
