"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"123",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x0","power","saddle_V2",0,0.013,0.043,0
"124",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x0","size","naive",0.006,0.031,0.075,0
"125",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x0","size","saddle_V1",0.003,0.019,0.05,0
"126",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x0","size","saddle_V2",0.003,0.014,0.034,0
"127",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x1","power","naive",0.008,0.033,0.077,0
"128",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x1","power","saddle_V1",0.002,0.021,0.05,0
"129",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x1","power","saddle_V2",0,0.015,0.032,0
"130",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x1","size","naive",0.008,0.035,0.07,0
"131",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x1","size","saddle_V1",0.001,0.02,0.044,0
"132",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x1","size","saddle_V2",0,0.014,0.034,0
"133",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x2","power","naive",0.034,0.101,0.19,0
"134",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x2","power","saddle_V1",0.017,0.065,0.14,0.001
"135",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x2","power","saddle_V2",0.008,0.049,0.095,0.001
