"","X","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"3965",3965,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x0","size","saddle_V1",0.012,0.054,0.081,0
"3966",3966,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x0","size","saddle_V2",0.006,0.042,0.072,0
"3967",3967,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x1","power","naive",0.026,0.111,0.181,0
"3968",3968,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x1","power","saddle_V1",0.023,0.102,0.178,0
"3969",3969,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x1","power","saddle_V2",0.018,0.079,0.149,0
"3970",3970,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x1","size","naive",0.014,0.04,0.09,0
"3971",3971,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x1","size","saddle_V1",0.014,0.039,0.086,0
"3972",3972,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x1","size","saddle_V2",0.011,0.033,0.061,0
"3973",3973,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x2","power","naive",0.59,0.803,0.873,0
"3974",3974,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x2","power","saddle_V1",0.574,0.793,0.869,0
"3975",3975,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x2","power","saddle_V2",0.516,0.759,0.851,0
"3976",3976,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x2","size","naive",0.009,0.046,0.097,0
"3977",3977,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x2","size","saddle_V1",0.009,0.037,0.094,0
"3978",3978,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x2","size","saddle_V2",0.006,0.032,0.085,0
"3979",3979,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x3","power","naive",0.365,0.569,0.678,0
"3980",3980,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x3","power","saddle_V1",0.298,0.535,0.643,0
"3981",3981,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x3","power","saddle_V2",0.202,0.416,0.554,0
"3982",3982,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x3","size","naive",0.013,0.06,0.097,0
"3983",3983,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x3","size","saddle_V1",0.008,0.055,0.09,0
"3984",3984,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x3","size","saddle_V2",0.005,0.03,0.064,0
"3985",3985,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x4","power","naive",0.009,0.049,0.094,0
"3986",3986,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x4","power","saddle_V1",0.008,0.049,0.093,0
"3987",3987,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x4","power","saddle_V2",0.007,0.039,0.081,0
"3988",3988,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x4","size","naive",0.009,0.049,0.094,0
"3989",3989,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x4","size","saddle_V1",0.008,0.049,0.093,0
"3990",3990,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x4","size","saddle_V2",0.007,0.039,0.081,0
"3991",3991,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x0","power","naive",0.055,0.154,0.257,0
"3992",3992,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x0","power","saddle_V1",0.054,0.15,0.256,0
"3993",3993,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x0","power","saddle_V2",0.048,0.135,0.242,0
"3994",3994,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x0","size","naive",0.011,0.056,0.096,0
"3995",3995,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x0","size","saddle_V1",0.01,0.056,0.093,0
"3996",3996,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x0","size","saddle_V2",0.009,0.049,0.091,0
"3997",3997,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x1","power","naive",0.042,0.132,0.207,0
"3998",3998,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x1","power","saddle_V1",0.04,0.132,0.205,0
"3999",3999,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x1","power","saddle_V2",0.035,0.122,0.193,0
"4000",4000,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x1","size","naive",0.013,0.048,0.106,0
"4001",4001,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x1","size","saddle_V1",0.011,0.048,0.105,0
"4002",4002,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x1","size","saddle_V2",0.008,0.039,0.093,0
"4003",4003,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x2","power","naive",0.934,0.987,0.996,0
"4004",4004,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x2","power","saddle_V1",0.931,0.987,0.996,0
"4005",4005,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x2","power","saddle_V2",0.913,0.984,0.995,0
"4006",4006,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x2","size","naive",0.014,0.049,0.095,0
"4007",4007,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x2","size","saddle_V1",0.012,0.049,0.095,0
"4008",4008,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x2","size","saddle_V2",0.009,0.045,0.083,0
"4009",4009,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x3","power","naive",0.762,0.901,0.941,0
"4010",4010,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x3","power","saddle_V1",0.736,0.898,0.94,0
"4011",4011,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x3","power","saddle_V2",0.61,0.844,0.921,0
"4012",4012,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x3","size","naive",0.019,0.083,0.13,0
"4013",4013,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x3","size","saddle_V1",0.018,0.075,0.125,0
