"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"146",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x4","power","saddle_V1",0.005,0.025,0.067,0
"147",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x4","power","saddle_V2",0.005,0.019,0.052,0
"148",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x4","size","naive",0.011,0.047,0.088,0
"149",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x4","size","saddle_V1",0.005,0.025,0.067,0
"150",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x4","size","saddle_V2",0.005,0.019,0.052,0
"151",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x0","power","naive",0.019,0.058,0.101,0
"152",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x0","power","saddle_V1",0.007,0.044,0.077,0
"153",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x0","power","saddle_V2",0.004,0.029,0.059,0
"154",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x0","size","naive",0.008,0.035,0.068,0
"155",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x0","size","saddle_V1",0.002,0.017,0.051,0
"156",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x0","size","saddle_V2",0,0.012,0.04,0
"157",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x1","power","naive",0.015,0.059,0.104,0
"158",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x1","power","saddle_V1",0.005,0.035,0.07,0
"159",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x1","power","saddle_V2",0.003,0.03,0.059,0
"160",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x1","size","naive",0.004,0.032,0.062,0
"161",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x1","size","saddle_V1",0,0.021,0.039,0
"162",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x1","size","saddle_V2",0.001,0.013,0.036,0
"163",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x2","power","naive",0.34,0.574,0.695,0
"164",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x2","power","saddle_V1",0.207,0.487,0.641,0
"165",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x2","power","saddle_V2",0.148,0.412,0.551,0
"166",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x2","size","naive",0.006,0.035,0.065,0
"167",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x2","size","saddle_V1",0.001,0.016,0.049,0
"168",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x2","size","saddle_V2",0.001,0.013,0.038,0
"169",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x3","power","naive",0.383,0.604,0.711,0
"170",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x3","power","saddle_V1",0.162,0.398,0.546,0
"171",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x3","power","saddle_V2",0.141,0.343,0.486,0
"172",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x3","size","naive",0.008,0.029,0.068,0
"173",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x3","size","saddle_V1",0.002,0.007,0.024,0
"174",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x3","size","saddle_V2",0.002,0.007,0.026,0
"175",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x4","power","naive",0.009,0.032,0.072,0
"176",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x4","power","saddle_V1",0.003,0.019,0.045,0
"177",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x4","power","saddle_V2",0.003,0.017,0.033,0
"178",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x4","size","naive",0.009,0.032,0.072,0
"179",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x4","size","saddle_V1",0.003,0.019,0.045,0
"180",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4m","x4","size","saddle_V2",0.003,0.017,0.033,0
"181",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC5","x0","power","naive",0.042,0.11,0.202,0
"182",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC5","x0","power","saddle_V1",0.026,0.084,0.163,0
"183",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC5","x0","power","saddle_V2",0.017,0.064,0.136,0
"184",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC5","x0","size","naive",0.016,0.07,0.122,0
"185",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC5","x0","size","saddle_V1",0.009,0.051,0.095,0
"186",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC5","x0","size","saddle_V2",0.008,0.047,0.081,0
"187",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC5","x1","power","naive",0.04,0.116,0.205,0
"188",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC5","x1","power","saddle_V1",0.021,0.085,0.17,0
