"","g","n","B","whichX","alpha_string","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"116",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","Satt_E",0,0,0,0.003,0.01
"117",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","Satt_H",0,0,0,0.004,0.019
"118",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","KCCI_E",0,0,0,0.004,0.009
"119",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","KCCI_H",0,0,0,0.006,0.02
"120",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","KCp_E",0,0.002,0.003,0.006,0.013
"121",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","KCp_H",0,0.001,0.003,0.011,0.022
"122",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","naive",0,0.004,0.005,0.022,0.049
"123",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","RCI_E",0,0.005,0.006,0.009,0.014
"124",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","RCI_H",0,0,0,0,0.005
"125",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","Rp_E",0,0.002,0.004,0.005,0.008
"126",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","Rp_H",0,0,0,0,0
"127",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","saddle_E",0,0,0.001,0.007,0.018
"128",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","saddle_H",0,0,0,0.009,0.022
"129",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","Satt_E",0,0,0,0.003,0.01
"130",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","size","Satt_H",0,0,0,0.004,0.019
"131",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","KCCI_E",0,0,0,0.001,0.01
"132",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","KCCI_H",0,0,0,0.005,0.016
"133",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","KCp_E",0,0.001,0.001,0.006,0.012
"134",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","KCp_H",0,0.001,0.002,0.01,0.017
"135",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","naive",0,0.003,0.006,0.027,0.05
"136",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","RCI_E",0,0,0,0.005,0.013
"137",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","RCI_H",0,0,0,0,0.003
"138",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","Rp_E",0,0,0,0.001,0.005
"139",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","Rp_H",0,0,0,0,0
"140",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","saddle_E",0,0,0.001,0.007,0.023
"141",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","saddle_H",0,0,0,0.009,0.017
"142",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","Satt_E",0,0,0,0,0.006
"143",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","power","Satt_H",0,0,0,0.005,0.013
"144",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","KCCI_E",0,0,0,0.001,0.01
"145",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","KCCI_H",0,0,0,0.005,0.016
"146",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","KCp_E",0,0.001,0.001,0.006,0.012
"147",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","KCp_H",0,0.001,0.002,0.01,0.017
"148",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","naive",0,0.003,0.006,0.027,0.05
"149",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","RCI_E",0,0,0,0.005,0.013
"150",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","RCI_H",0,0,0,0,0.003
"151",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","Rp_E",0,0,0,0.001,0.005
"152",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","Rp_H",0,0,0,0,0
"153",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","saddle_E",0,0,0.001,0.007,0.023
"154",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","saddle_H",0,0,0,0.009,0.017
"155",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","Satt_E",0,0,0,0,0.006
"156",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4m","x4","size","Satt_H",0,0,0,0.005,0.013
"157",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","KCCI_E",0,0.002,0.005,0.031,0.06
"158",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","KCCI_H",0,0,0.003,0.027,0.062
"159",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","KCp_E",0,0.011,0.016,0.042,0.065
"160",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","KCp_H",0,0.01,0.015,0.039,0.067
"161",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","naive",0,0.016,0.023,0.071,0.11
"162",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","RCI_E",0,0.047,0.05,0.07,0.093
"163",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","RCI_H",0,0,0.001,0.015,0.028
"164",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","Rp_E",0,0.022,0.026,0.047,0.068
"165",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","Rp_H",0,0,0,0,0
"166",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","saddle_E",0,0.001,0.005,0.033,0.073
"167",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","saddle_H",0,0.003,0.007,0.032,0.063
"168",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","Satt_E",0,0.004,0.006,0.035,0.061
"169",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","power","Satt_H",0,0,0.002,0.02,0.055
"170",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","size","KCCI_E",0,0.002,0.005,0.031,0.06
"171",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","size","KCCI_H",0,0,0.003,0.027,0.062
"172",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","size","KCp_E",0,0.011,0.016,0.042,0.065
"173",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","size","KCp_H",0,0.01,0.015,0.039,0.067
"174",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","size","naive",0,0.016,0.023,0.071,0.11
"175",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","size","RCI_E",0,0.047,0.05,0.07,0.093
"176",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC5","x4","size","RCI_H",0,0,0.001,0.015,0.028
