"","g","n","B","whichX","alpha_string","power","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"138",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","Rp_E",0,0.1,0.1,0.1,0.2
"139",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","Rp_H",0,0,0,0.1,0.2
"140",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","saddle_E",0,0,0.1,0.1,0.2
"141",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","saddle_H",0,0,0,0.1,0.2
"142",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","Satt_E",0,0,0.1,0.1,0.2
"143",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","Satt_H",0,0,0,0.1,0.2
"144",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","KCCI_E",0,0,0,0.1,0.2
"145",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","KCCI_H",0,0,0,0.1,0.2
"146",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","KCp_E",0,0,0,0.1,0.2
"147",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","KCp_H",0,0,0,0.1,0.2
"148",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","naive",0,0,0.1,0.1,0.2
"149",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","RCI_E",0,0.2,0.2,0.2,0.3
"150",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","RCI_H",0,0,0,0.1,0.2
"151",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","Rp_E",0,0.1,0.1,0.1,0.2
