"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"9750",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x3","size","Satt",0,0,0
"9751",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x3","size","saddle_V1",0,0,0
"9752",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x3","size","saddle_V2",0,0,0
"9753",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x4","power","naive",0,0,0
"9754",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x4","power","Satt",0,0,0
"9755",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x4","power","saddle_V1",0,0,0
"9756",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x4","power","saddle_V2",0,0,0
"9757",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x4","size","naive",0,0,0
"9758",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x4","size","Satt",0,0,0
"9759",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x4","size","saddle_V1",0,0,0
"9760",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x4","size","saddle_V2",0,0,0
"9761",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x0","power","naive",0,0,0
"9762",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x0","power","Satt",0,0,0
"9763",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x0","power","saddle_V1",0,0,0
"9764",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x0","power","saddle_V2",0,0,0
"9765",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x0","size","naive",0,0,0
"9766",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x0","size","Satt",0,0,0
"9767",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x0","size","saddle_V1",0,0,0
"9768",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x0","size","saddle_V2",0,0,0
"9769",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x1","power","naive",0,0,0
"9770",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x1","power","Satt",0,0,0
"9771",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x1","power","saddle_V1",0,0,0
"9772",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x1","power","saddle_V2",0,0,0
"9773",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x1","size","naive",0,0,0
"9774",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x1","size","Satt",0,0,0
"9775",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x1","size","saddle_V1",0,0,0
"9776",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x1","size","saddle_V2",0,0,0
"9777",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x2","power","naive",1,1,1
"9778",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x2","power","Satt",1,1,1
"9779",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x2","power","saddle_V1",1,1,1
"9780",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x2","power","saddle_V2",1,1,1
