"","n","mdl","xDist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"180",40,3,"norm","naive edgeKC",10000,757358473,"HC2","x0","size","edgeKC",0.0085,0.0476,0.0986,0
"181",40,3,"norm","naive edgeKC",10000,757358473,"HC2","x1","power","naive",0.8373,0.935,0.9627,0
"182",40,3,"norm","naive edgeKC",10000,757358473,"HC2","x1","power","edgeKC",0.8023,0.9204,0.9551,0
"183",40,3,"norm","naive edgeKC",10000,757358473,"HC2","x1","size","naive",0.0256,0.0797,0.1398,0
"184",40,3,"norm","naive edgeKC",10000,757358473,"HC2","x1","size","edgeKC",0.0177,0.0653,0.12,0
"185",40,3,"norm","naive edgeKC",10000,757358473,"HC3","x0","power","naive",0.0062,0.0399,0.0865,0
"186",40,3,"norm","naive edgeKC",10000,757358473,"HC3","x0","power","edgeKC",0.0062,0.0396,0.086,0
"187",40,3,"norm","naive edgeKC",10000,757358473,"HC3","x0","size","naive",0.0062,0.0399,0.0865,0
"188",40,3,"norm","naive edgeKC",10000,757358473,"HC3","x0","size","edgeKC",0.0062,0.0396,0.086,0
"189",40,3,"norm","naive edgeKC",10000,757358473,"HC3","x1","power","naive",0.801,0.9169,0.9529,0
"190",40,3,"norm","naive edgeKC",10000,757358473,"HC3","x1","power","edgeKC",0.7594,0.9002,0.9428,0
"191",40,3,"norm","naive edgeKC",10000,757358473,"HC3","x1","size","naive",0.0184,0.0649,0.1157,0
"192",40,3,"norm","naive edgeKC",10000,757358473,"HC3","x1","size","edgeKC",0.0131,0.0519,0.101,0
"193",25,1,"lap","naive edgeKC",10000,928098498,"HC2","x0","power","naive",0.011,0.054,0.1055,0
"194",25,1,"lap","naive edgeKC",10000,928098498,"HC2","x0","power","edgeKC",0.011,0.0535,0.1033,0
"195",25,1,"lap","naive edgeKC",10000,928098498,"HC2","x0","size","naive",0.011,0.054,0.1055,0
"196",25,1,"lap","naive edgeKC",10000,928098498,"HC2","x0","size","edgeKC",0.011,0.0535,0.1033,0
"197",25,1,"lap","naive edgeKC",10000,928098498,"HC2","x1","power","naive",1,1,1,0
"198",25,1,"lap","naive edgeKC",10000,928098498,"HC2","x1","power","edgeKC",1,1,1,0
