"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"161",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x0","power","naive",0,1,1
"162",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x0","power","Satt",0,1,1
"163",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x0","power","saddle_V1",0,1,1
"164",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x0","power","saddle_V2",0,0,1
"165",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x0","size","naive",0,0,0
"166",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x0","size","Satt",0,0,0
"167",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x0","size","saddle_V1",0,0,0
"168",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x0","size","saddle_V2",0,0,0
"169",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x1","power","naive",0,0,0
"170",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x1","power","Satt",0,0,0
"171",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x1","power","saddle_V1",0,0,0
"172",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x1","power","saddle_V2",0,0,0
"173",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x1","size","naive",0,0,0
"174",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x1","size","Satt",0,0,0
"175",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x1","size","saddle_V1",0,0,0
"176",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x1","size","saddle_V2",0,0,0
"177",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x2","power","naive",1,1,1
"178",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x2","power","Satt",1,1,1
"179",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x2","power","saddle_V1",1,1,1
"180",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x2","power","saddle_V2",0,1,1
"181",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x2","size","naive",0,0,0
