"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3","HC4","HC4m","HC5"
"117",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,425991818,"B1","Power",0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977
"118",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,425991818,"B2","Power",1,1,1,1,1,1,1,1
"119",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,425991818,"B3","Power",1,1,1,1,1,1,1,1
"120",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,425991818,"B4","Power",0.045,0.045,0.042,0.042,0.042,0.044,0.042,0.044
"121",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,2831595,"B0","Size",0.061,0.113,0.084,0.074,0.04,0.104,0.089,0.104
"122",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,2831595,"B1","Size",0.06,0.113,0.087,0.076,0.036,0.105,0.094,0.105
"123",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,2831595,"B2","Size",0.051,0.109,0.071,0.063,0.033,0.087,0.076,0.087
"124",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,2831595,"B3","Size",0.09,0.17,0.127,0.104,0.055,0.142,0.125,0.142
"125",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,2831595,"B4","Size",0.058,0.1,0.074,0.072,0.044,0.086,0.078,0.086
"126",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,2831595,"B0","Power",0.061,0.118,0.087,0.081,0.047,0.103,0.091,0.103
"127",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,2831595,"B1","Power",0.085,0.144,0.106,0.095,0.057,0.125,0.109,0.125
"128",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,2831595,"B2","Power",0.292,0.419,0.343,0.322,0.211,0.393,0.353,0.393
